1800FLOWERS.COM,705.44K,919.44M,1.30B,22.79,1.03
1st Constitution Bancorp,13.51K,130.48M,35.83M,7.94,0.64
51job,178.64K,4.42B,88.00M,62.28,1.37
A.A.W.W. Inc,772.60K,666.56M,2.74B,,1.38
A.P.E.I.,92.26K,357.44M,286.27M,36.6,0.63
AAON,270.57K,2.47B,469.33M,46.81,0.82
Abraxas Petrol,3.08M,23.07M,100.87M,0.42,2.11
Acacia Research,209.33K,117.99M,11.25M,,0.49
Acadia Hlthcre,1.11M,2.08B,3.11B,17.59,1.18
ACADIA Pharmaceuticals,1.34M,6.98B,339.08M,,1.86
Accurayorped,740.57K,177.32M,409.05M,,2.05
AcelRx Pharmaceuticals,978.38K,109.36M,2.29M,,1.65
Acer Therapeutics,85.83K,20.00M,,,1.66
Achieve Life Sciences,1.44M,10.85M,,,1.62
ACI Worldwide,910.85K,2.94B,1.26B,45.74,1.37
ACNB Corp,28.35K,227.76M,44.63M,7.78,0.08
Acorda Therap,1.80M,54.72M,192.41M,,1.84
Addus HomeCare,168.98K,1.19B,458.74M,49.75,0.32
ADDvantage Technologies,367.35K,29.74M,69.08M,,0.18
ADES,186.66K,129.86M,70.09M,3.51,0.89
ADTRAN Inc,365.65K,414.96M,530.06M,,1.16
Advanced Energy,316.39K,2.03B,788.95M,34.43,1.56
Aegion Corp,131.39K,478.07M,1.21B,,1.49
Aehr Test Systems,94.65K,36.20M,25.75M,180.05,0.68
Aeroportuario del Centro Norte,103.24K,1.45B,187.60M,10.36,1.47
AeroVironment,270.84K,1.45B,320.00M,46.57,0.74
Aeterna Zentaris,336.65K,20.71M,530.00K,,1.69
Agenus Inc,2.31M,436.29M,150.04M,,2.07
Agilysys,304.61K,427.24M,157.72M,,0.87
AGNC Invest,12.77M,6.71B,2.92B,10.6,0.87
Air T,5.21K,40.25M,247.18M,24.28,1.56
Airnet Tech,26.96K,10.09M,12.83M,,0.92
Akorn,2.88M,25.10M,682.43M,,1.61
Alaska Communications,152.03K,102.45M,231.70M,21.57,0.94
Albireo Pharma,120.27K,270.97M,9.64M,,1.62
Alico,22.01K,214.22M,118.48M,5.16,0.76
Alimera Sciences,37.30K,23.89M,53.95M,,2.17
Alithya A,9.03K,26.15M,6.13M,,0.87
Alkermes Plc,2.02M,2.45B,1.17B,,1.65
Allegiant Trvl,286.37K,1.29B,2.29B,5.32,1.45
Alliance Resource,994.42K,554.57M,1.96B,1.19,1.69
Allied Healthcare,1.32M,56.75M,31.30M,,-4.81
Allied Motion Tech,48.85K,259.67M,371.08M,14.91,1.78
Allot Communications,219.60K,338.44M,110.10M,-99999.99,-99999.99
Allscripts Healthcare Solutions,2.48M,1.03B,1.77B,,1.16
Alnylam Pharma,805.22K,13.65B,219.74M,,1.91
Alpha & Omega Semiconductor,147.54K,214.62M,456.59M,277.11,1.65
Alphatec Hldg,685.62K,257.65M,113.42M,,1.9
Alpine Immune Sciences,19.70K,56.88M,1.74M,,1.28
Altra Holdings,488.94K,1.26B,1.83B,10.21,2.15
AMAG Pharm,762.95K,257.68M,327.75M,,0.81
AMD,77.90M,64.31B,6.73B,176.21,2.34
Amedisys Inc,279.40K,6.43B,1.96B,51.07,1.05
Amer. Ntnl BShr,27.99K,245.01M,57.59M,11.26,1.1
Amer. Woodmark,125.04K,888.24M,1.66B,10.31,2.44
America CarMart,132.36K,425.95M,725.80M,7.9,1.45
America First Tax,270.89K,339.46M,78.46M,13.06,0.77
American National Insurance,49.19K,2.15B,3.65B,3.3,0.73
American River Bankshares,5.10K,60.66M,14.12M,10.88,0.9
American Sup.,272.21K,131.73M,60.28M,,0.87
American SWare,150.39K,471.58M,112.46M,59.75,0.41
Ameris Bancorp,484.71K,1.67B,514.54M,8.76,1.63
AMERISAFE,112.45K,1.29B,370.37M,13.91,0.46
AmeriServ,29.32K,46.30M,32.34M,8.27,0.81
Ames National,18.03K,184.45M,33.42M,10.99,0.7
Amicus Therap,3.42M,2.68B,182.24M,,1.16
Amkor Tech,1.69M,2.20B,4.05B,17.91,1.7
Amtech Systems,84.08K,69.38M,82.49M,41.34,1.77
